Song ID,Name,Artist,Album,Release Date,Popularity,Duration (ms),Playcount,Listeners,TopTags,WikiContent
5qfZRNjt2TkHEL12r3sDEU,Everglow,Coldplay,A Head Full of Dreams,04-12-2015,66,282693,2113810,300719,"rock, indie rock, indie, british, alternative rock","The track had its world exclusive first play during an interview with Zane Lowe on Beats One on November 26, 2015. The heartfelt ballad is from Coldplay’s 2015 album “A Head Full of Dreams” and features vocals from Chris Martin’s ex-wife, Gwyneth Paltrow. During the interview with Zane Lowe, lead singer, Chris Martin, explained how he met a surfer on the beach who was exclaimed to Martin, “Yo dude, I was doing this thing the other day, man. It gave me this total everglow” and Martin liked the word. Martin explained that the song was about “ whether it’s a loved one or a situation or a friend or a relationship that’s finished, or someone’s passed away, after you’ve been through the sadness of something, you also get this everglow”. Martin said that for him, the track Everglow was inspired by the break-up with his ex-wife Gwyneth Paltrow.  <a href=""http://www.last.fm/music/Coldplay/_/Everglow"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,10-07-2000,89,266773,28024382,2851959,"rock, Coldplay, alternative, britpop, alternative rock","""Yellow"" is a song by English alternative rock band Coldplay. The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, Parachutes. The song's lyrics are a reference to band vocalist Chris Martin's unrequited love, and its musicscape is built on a varied instrumentation.

The song was released in June 2000 as the second single off the album, following ""Shiver"", and the lead single in the United States. The single reached number four in the UK Singles Chart, giving the band their first top-five hit in the United Kingdom.

Helped by heavy rotation and usage in promotions, the song thrust the band into massive popularity. ""Yellow"" has since been covered by various recording artists worldwide, and remains one of the band's most popular songs.

While composing the song's lyrics, however, Chris Martin could not find the right words. He was thinking of a specific word, which he deemed a missing key word in the lyrics, to fit the song's concept. He looked around the studio and found the telephone directory Yellow Pages, which happened to be situated nearest to him. Chris Martin later titled the song ""Yellow"" as a reference to the directory. But according to him, ""In an alternate universe, this song could be called 'Playboy.'"" The lyrics progressed from there with the band collaborating. The band's bassist Guy Berryman came up with the opening line ""Look at the stars"". That night, having quickly composed the song, the band recorded it.

blogarticle  <a href=""http://www.last.fm/music/Coldplay/_/Yellow"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,X&Y,07-06-2005,82,295533,19853569,2154812,"Coldplay, rock, alternative, britpop, alternative rock","Fix You is the fourth track on Coldplay's third album, X&Y. The song was written by all four members of the band, and was released as the second single from X&Y.

Reportedly, Chris Martin wrote the song for Gwyneth Paltrow after her father's death. The organ played in the song is said to have been a gift Bruce Paltrow gave to his daughter Gwyneth some years before his death.

Rolling Stone, in their review for X&Y said of Fix You that ""one of the best [songs on X&Y] is 'Fix You', an unabashedly sentimental song where Martin delivers words of encouragement in a gentle falsetto, proving once more that no band can deliver a stately rock ballad like this one.""

The music video for Fix You was directed by Sophie Muller and included footage from the band's two night stay at Reebok Stadium in Bolton. The video is now widely regarded as a tribute to the July 7th 2005 London bombings. <a href=""http://www.last.fm/music/Coldplay/_/Fix+You"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,Memories...Do Not Open,07-04-2017,86,247160,7783816,921678,"pop, dance, electronic, Coldplay, future bass","""Something Just Like This"" is a song by American electronic music duo The Chainsmokers and British rock band Coldplay. It was released on February 22, 2017 as the second single from the former's debut album Memories...Do Not Open and as the lead single of the latter's Kaleidoscope EP.

It reached the Top 10 of various charts around the world, including number two in the UK Singles Chart and the ARIA Charts and three on the Billboard Hot 100. The song was also nominated for a Grammy Award for Best Pop Duo/Group Performance at the 60th Annual Grammy Awards being listed as one of the best songs of the year by Uproxx and 3voor12.

In September 2016, the Chainsmokers shared three short clips of an upcoming song featuring vocals from Coldplay's lead vocalist Chris Martin. On February 22, 2017, Spotify prematurely posted a banner ad at the top of the site's home page with a Listen Now button.

The song is written in the key of D major and has a tempo of 103.156 beats per minute in common time. It follows a chord progression of G(add9)–Asus–Bm–Asus, and the vocals span two octaves, from G2 to G4.

On the same date, Coldplay premiered ""Something Just Like This"" with the Chainsmokers on stage at the Brit Awards at The O2 Arena in London, England. They then performed the song at the 2017 iHeartRadio Music Awards at The Forum in Inglewood, California on March 5, 2017 and on their A Head Full of Dreams Tour since the Singapore show on March 31, 2017. It was performed again at the One Love Manchester benefit concert for the victims of the Manchester Arena bombing on June 4, 2017.

A lyric video was also released on February 22, 2017 on the Chainsmokers' Vevo channel. It has received over 2.1 billion views and is one of the 70 most viewed videos on YouTube. It was directed by James Zwadlo.

""Something Just Like This"" debuted at number 56 on the Billboard Hot 100 and soared to number five on its second week, becoming the Chainsmokers' third top five after ""Don't Let Me Down"" and ""Closer"". Meanwhile, it was Coldplay's second top five hit after ""Viva la Vida"", which peaked at number three on the Billboard Hot 100 ever since. The song was also the sixth best-selling track of 2017 in the United States with 1,348,000 copies sold. In the United Kingdom, ""Something Just Like This"" debuted at number 30 on 24 February 2017, reaching its number two peak position the following week behind Ed Sheeran's ""Shape of You"". It spent nine consecutive weeks in the top 10 and became the ninth biggest song of the year in the country. The song also set a new record for most weeks atop Billboard's Hot Dance/Electronic Songs chart. <a href=""http://www.last.fm/music/The+Chainsmokers/_/Something+Just+Like+This"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,A Rush of Blood to the Head,27-08-2002,84,309600,23398130,2443466,"Coldplay, rock, alternative, britpop, british","Chris Martin wrote ""The Scientist"" after listening to George Harrison's ""All Things Must Pass"". In an interview with Rolling Stone, Martin revealed that while working on the band's second album, A Rush of Blood to the Head, he knew that the album was missing something. One night, during a stay in Liverpool, Martin found an old piano that was out of tune. He wanted to work on George Harrison's song ""Isn't It a Pity"", but he could not manage to do so. When the song came to Martin, he asked that the recorder be turned on. He concludes with saying that he came across this chord sequence and noted that the chord was ""lovely"". Martin recorded the vocals and piano takes in a studio in Liverpool.

When asked about the development of the song, during a track-by-track reveal, Martin said: ""That's just about girls. It's weird that whatever else is on your mind, whether it's the downfall of global economics or terrible environmental troubles, the thing that always gets you most is when you fancy someone.""

However, the inside cover to A Rush of Blood to the Head stated: ""The Scientist is Dan."" 'Dan' refers to Dan Keeling, the A&R man who signed the band to Parlophone. <a href=""http://www.last.fm/music/Coldplay/_/The+Scientist"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
65OR4ywy8Cgs3FDHK82Idl,Higher Power,Coldplay,Music Of The Spheres,15-10-2021,64,206681,2451838,316467,"2021, 2020s, pop, pop rock, synthpop","“Higher Power” is a song that arrived on a little keyboard and a bathroom sink at the start of 2020 and was mentioned briefly during the ""TogetherAtHome"" livestreamed concerts. According to Chris Martin, “the song is about trying to find the astronaut in all of us, the person that can do amazing things”.

On April 30th, the band inadvertently released an advert of the song with a snippet of the music a week early, which was quickly deleted 30 minutes after it was posted. On May 3rd, a post was made on the official Coldplay TikTok featuring a new clip of the song, lasting 26 seconds.

The song was finally released on May 7th, alongside an online conference with French astronaut Thomas Pesquet, who was aboard the ISS. Martin explained to him:

Right now we aren’t able to play for anybody on Earth, so we thought we’d just play for you.

""'I think people needed to have something uplifting. We wanted to put out this optimism and positivity into everything on this album. The famous story which is going around about this song is how Chris kind of was tapping out the drum pattern on a bathroom sink, and he recorded it on his phone and then went and wrote the song on top of it.'"" - Chris Martin, via Apple Music <a href=""http://www.last.fm/music/Coldplay/_/Higher+Power"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,Ghost Stories,16-05-2014,85,267866,9674646,1126660,"pop, alternative rock, electronic, 2014, eletronic","""A Sky Full of Stars"" is a song by the British rock band Coldplay. It was released in May 2014 as the second single from their sixth album, Ghost Stories (2014). An exclusive digital EP version of it, with the B-sides ""All Your Friends"", ""Ghost Story"" and ""O (Reprise)"", came out in the following weeks, being considered the band's eleventh extended play.

The band co-wrote and co-produced the song with Swedish DJ Avicii and received production assistance from Paul Epworth, Daniel Green and Rik Simpson. It was recorded at the Bakery and the Beehive in North London, England. Upon its release, ""A Sky Full of Stars"" garnered mostly positive reviews from music critics and charted inside the top 10 in over 16 countries such as Australia, Canada, Ireland, Japan, Mexico, New Zealand, the United Kingdom and United States.

A music video for the song was directed by Mat Whitecross and was released on 19 June 2014. The single peaked at number one in Italy, Israel, Luxembourg, Portugal, Lebanon, and the Walloon region of Belgium. It also topped the Billboard Hot Dance Club Songs chart. It was nominated for Best Pop Duo/Group Performance at the 57th Grammy Awards.

""A Sky Full of Stars"" was recorded during the sessions for the band's sixth studio album, at their purpose-built studios the Bakery and the Beehive in North London, England. The studios were both originally constructed for work on their two previous studio albums, 2008's Viva la Vida or Death and All His Friends and 2011's Mylo Xyloto.

Avicii was invited by the band to collaborate on ""A Sky Full of Stars"". In addition to producing the track, he was also asked by lead singer Chris Martin to play and record the piano parts. However, Martin later stated in a BBC Radio 1 interview with Zane Lowe that he felt that he had ""cheated"" on the band by asking Avicii to play the piano instead of playing it himself.

The single art for ""A Sky Full of Stars"" was etched by UK-based, Czech etching artist Mila Fürstová. The artwork continues the motif of artworks in the Ghost Stories album cycle, which feature a scene occurring in a larger, enclosed body. Multiple figures such as angels with wings like of the Ghost Stories artwork, buildings such as a church, and objects such as a maze and a chair, also alluding to those in the Ghost Stories artwork, are depicted encased in a three-dimensional star chart. The artwork is reminiscent of Fürstová's earlier work, Other Skies, which also features various figures, buildings and objects imposed onto a star map.

The official music video was directed by Mat Whitecross and the shooting took place on King Street, Newtown, Sydney, on 17 June 2014. It was released on 19 June 2014. At the beginning of the video, Martin walks down King Street dressed as a one-man band, singing the first verse of the song. Then he reaches the other members of the band (also dressed as one-man bands) and, together, they play the instrumental refrain. Martin is then seen walking through the street, without the other members, while he sings the second verse. At the end of the video the band reunites in a square, singing and playing the final part of the song with a crowd of fans. While Martin is singing the final part, many paper-made stars are blown into the square.

An alternate music video, produced by design studio Artisan, shows the band performing the song in a dark room where an animation of stars is projected onto the floor. The musicians interact with the projection and the stars swirl and fly around following their movements. During an interview, Martin revealed this version was actually the original idea for the music video, but was later scrapped and they decided to shoot a new video in Sydney. However, snippets from the Artisan video were included in the official one and they can be seen playing on the TV screens in a shop's showcase.

At the Apple 2014 Event held on September 9 of that year, ""A Sky Full of Stars"" was the song of choice when the first introduction video unveiled the Apple Watch. At the 2019 AFC Asian Cup , this song is played after the national anthem of two teams in every matches. ""A Sky Full of Stars"" was played during the 2020 Democratic National Convention and after the acceptance speeches of U.S. President Joe Biden and Vice President Kamala Harris following their victory in the 2020 presidential election on November 7, 2020. Dana Bash of CNN noted the significance of the song choice for Biden as it was the favourite song of his late son Beau Biden. 

The song was also played during the 3-Point Shootout of the 2015 NBA All-Star Game weekend. It was also chosen by the players of English football team Liverpool F.C. to play during the celebrations as they lifted the 2019–20 Premier League, their first league title in 30 years. Taron Egerton performed the song as his character Johnny for the 2021 animated film Sing 2; the song was also included on the film's soundtrack. On Paulo Dybala's presentation day at his new club AS Roma in 2022, the song was played in front of massive crowd of Roma fans;[42] it was also previously played during the post-match celebration of Juventus F.C. after their game against S.S. Lazio – Dybala's final match with the club. <a href=""http://www.last.fm/music/Coldplay/_/A+Sky+Full+of+Stars"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
23BO6YozrAXUta1buxFZ80,Humankind,Coldplay,Music Of The Spheres,15-10-2021,54,266704,587577,102998,"indie rock, rock, indie, pop, pop rock","""Humankind"" is a song by Coldplay from their ninth studio album, Music of the Spheres. It is the third track on the album. The song's official music video premiered on 17 August 2022. On the concept of the record, the track represents Echo, the second planet on The Spheres solar system. <a href=""http://www.last.fm/music/Coldplay/_/Humankind"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,A Head Full of Dreams,04-12-2015,80,258266,8309055,914205,"pop, alternative rock, beyonce, 2016, alternative","""Hymn for the Weekend"" is a song by British rock band Coldplay featuring uncredited vocals from American singer Beyoncé. It was released on 25 January 2016 as the second single from their seventh studio album, A Head Full of Dreams (2015), where it appears as the third track.

Background

The song was debuted on Annie Mac's BBC radio show on 30 November 2015, and Coldplay bassist Guy Berryman dialed in after the song aired to talk about his brush with royalty. According to Berryman, lead singer Chris Martin originally wanted the song to be a party song with lyrics like ""drinks on me, drinks on me"", but his bandmates didn't think that would go well with their fans. Beyoncé, who was Martin's longtime friend, was asked to sing on the song, and she accepted the request.

Martin corroborated Berryman's story about the band protesting him singing, ""Drinks on me, drinks on me"" in an interview with The Wall Street Journal. According to Martin, the original kernel was that he was listening to Flo Rida or something, and he thought, it's such a shame that Coldplay could never have one of those late-night club songs, like ""Turn Down for What"". ""I thought I’d like to have a song called 'Drinks on Me' where you sit on the side of a club and buy everyone drinks because you're so fucking cool,"" Martin recalled. ""I was chuckling about that, when this melody came, 'drinks on me, drinks on me', then the rest of the song came out. I presented it to the rest of the band and they said, 'We love this song, but there's no way you can sing ""drinks on me.""' So that changed into 'drink from me' and the idea of having an angelic person in your life. Then that turned into asking Beyoncé to sing on it.""

Music video

According to The Times of India, the video was shot in October, in Mumbai, India. The video was filmed by Ben Mor, and was released on 29 January 2016.[3][4] The video features Beyoncé and Indian actress Sonam Kapoor.

""I love Coldplay's music and so does the world. It was a huge honour to be a part of the video. It's a great concept and I had a lot of fun shooting for it."" Kapoor said.

The video captures several snippets of Indian life including sadhus in bright saffron robs, children splashing holi colors in India's busy streets and back flipping into streams, puppeteers on streets, classical dancers, marigold flowers, fireworks and fire-breathers. Within hours, the video came under severe criticism, especially from social media users who claimed that the video showed Indian stereotypes and attempted cultural appropriation by showing Beyonce as a bollywood actress in traditional Indian dress. <a href=""http://www.last.fm/music/Coldplay/_/Hymn+for+the+Weekend"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
23khhseCLQqVMCIT1WMAns,Magic,Coldplay,Ghost Stories,16-05-2014,69,285014,6280314,739950,"alternative, Coldplay, pop, indie, 2014","Magic is the first single from Coldplay's 6th studio album, Ghost Stories <a href=""http://www.last.fm/music/Coldplay/_/Magic"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
